NodeID,Day,Room,Fraction,Patients,Weighted_Contrib
22feba829ea3b5d18d9bb59310cf7a2f,4,0,0.095613,23;126;187;204;235,0.478063
7087602b3589c25652ba333362db3672,4,0,0.167120,17;22;55;63;93;119,1.002720
b71fd8b583bd2afa2e40070dae7ea85d,4,0,0.168443,5;62;74;82;141,0.842215
f20c1c4beb04907482ada8e1d1a4a525,4,0,0.038928,8;19;130;145;204;238;241,0.272498
624abf8ab2795aa0f177078053ffadbb,4,0,0.133299,8;63;78;83;132;230;247,0.933093
597bb89e3e432fe98f299e57c464967e,4,0,0.170917,8;143;178;189;224,0.854583
73661327d8693c00600a91b9d6a90f58,4,0,0.107533,1;12;17;138;161;224,0.645198
88fc4f53e55fc8323db0c84f55dced7d,4,0,0.118148,3;28;29;66;99;113;115,0.827033
5de7d95a19b65c89251e473f6d3a5506,4,5,0.177169,22;51;80;86;101;139;148;154;155;169;177,1.948858
588e17dad72ee3bd7963ebeba4eff8ce,4,5,0.039675,47;49;81;100;205;233;249,0.277727
7f404b30211496b1db9716e359c564e5,4,5,0.020933,59;64;79;87;91;172;196;198;215;233,0.209333
4e300d9ae2952ae90c7157227e4db879,4,5,0.083256,24;31;88;119;126;134;194;208,0.666051
276bf25748d93151283aec1f5031e946,4,5,0.096728,7;29;39;44;59;78;132;164;214;230,0.967281
9d2974684f2511917629c6b112bee3af,4,5,0.014710,7;40;44;45;55;162;170;172;177;223,0.147098
c77450391667f584f0950c625ba10894,4,5,0.104922,49;55;71;80;119;146;190;202;225,0.944297
aa6f5db062911629f68081476f62469e,4,5,0.152117,10;16;40;95;133;156;166;209;214;223;247,1.673291
5084e651241c72900938602d62a55ae0,4,5,0.192067,15;21;39;64;105;135;160;162;196;211,1.920671
85b63a15817f63b10255f3c9227c4127,4,5,0.056350,27;31;45;49;67;108;135;140;145;154;156;177,0.676206
704f9636c33176dfd05592a2c6a4fa1d,4,5,0.054979,27;31;88;89;116;126;129;145;195;217;222,0.604771
490b02adcbd277ac42fe2d1787071636,4,5,0.007092,26;49;84;107;163;182;200;202;205,0.063828
7633fbd7aa7724872ce52e705818c620,1,2,0.004191,23;38;66;104;198;225,0.025145
e823f8f5d53c15f930c47adf5f7e9f85,1,2,0.127222,16;17;76;127;216;220,0.763331
725ed9308e400f4019781b17b4eef198,1,2,0.101395,25;118;141;212;224;239,0.608368
0f695aa6249e01198980318e7d3460b8,1,2,0.034199,4;29;62;130;143;154;173,0.239394
f5871267ab977e46a23f2438567eaa74,1,2,0.112586,83;96;108;189;204;239,0.675515
9b6cacaa455b8c4c591784898debd37d,1,2,0.154953,10;24;49;64;174;203;219,1.084668
9d31de35324e86c730ef175560e57c21,1,2,0.033401,57;69;151;206;220,0.167007
ad1bdfd8247c085e5607b6b0262cefd2,1,2,0.334725,30;53;141;195;207,1.673623
a13c7e5bb9882e25f97e195948530548,1,2,0.097329,17;27;98;204;239;243,0.583973
2d36f2ba656f80d3df394b9d5f7680af,2,4,0.055241,22;52;64;119;121;184;201;225;232;244,0.552410
723dbc725d696766abf4cb4204211116,2,4,0.083105,26;31;32;173;183;209;214;229,0.664840
a8f7dd96f9acca075a067d22e68edb65,2,4,0.085639,10;44;65;70;123;190;201;211;216,0.770753
57da74fabdb6244cb1e25642ca6feb02,2,4,0.164031,2;13;34;110;125;136;145;177;184;195;210;211,1.968366
4de7f20898460d4c67844ab511af39d1,2,4,0.031395,25;27;33;51;52;68;133;191;199;247,0.313954
e9d53f682dce6f4809c8b7330c8ae438,2,4,0.031374,6;13;64;88;95;101;115;118;134;136;195,0.345118
265ecb7386ec5bad6c7db6fa3fbfa181,2,4,0.031108,48;55;110;132;133;135;139;153;213;223;236,0.342193
35de6107a44af8c60234e5727302ef50,2,4,0.044633,24;27;35;127;134;172;185;194;199,0.401699
dc099e37b3c51aaf0a2c714b37472dd4,2,4,0.162096,46;50;127;163;176;190;215;222;238;249,1.620962
a6aaacd83ce33e8fd8cbbf49897f2fc0,2,4,0.034669,20;88;91;121;125;190;231;240;244,0.312018
f6b7251c1bed239334d800b6181db03c,2,4,0.014487,0;2;25;35;39;49;55;59;108;237,0.144870
82b61e6b3644e4a0290c5b6434a53347,2,4,0.118083,88;108;116;117;156;176;202;208;218;232,1.180832
902d905c416908ac849c3a4149726bb1,2,4,0.108918,10;11;46;64;69;112;179;237;244,0.980263
3971d833a938f8cd5eb34a3b56c50acd,2,4,0.035220,9;22;27;28;117;132;144;173;183;198;205;223,0.422636
dffd643fac820f37f97374c8b844e118,1,0,0.237500,1;19;66;165;241,1.187502
ed8772ba8ccab9efe39b7d485e885087,1,0,0.023118,8;83;99;140;156;189,0.138705
3e880ed70b940ac2b81050df7d7e3389,1,0,0.017523,114;143;165;174;182;188,0.105136
e1ccd3f67d5e459e6ab094af9be24ecf,1,0,0.058543,33;96;108;124;175;219;235,0.409799
20772c910c148896a48e77f48bfb700f,1,0,0.180270,4;73;98;222;244,0.901352
9f0b6850af22dc3564f85167ee1328d5,1,0,0.133794,6;19;41;57;128;227,0.802766
2f44cda0019dac9cc9be1d6d8f4d0a35,1,0,0.055792,5;73;79;130;167;169;216,0.390541
fafd156114e10048403b4c41f186aadf,1,0,0.176530,9;17;57;93;130;236,1.059182
c56b2e1efcd9dc4d3b81e13eb75fc063,1,0,0.041600,3;49;79;98;124;133;169;201,0.332802
e65cb3df7cb297247d6a6184b7294697,1,0,0.075330,5;16;22;81;143;219;232,0.527309
f201b688a3dc93957ff7fe1f7589265b,2,1,0.116491,25;93;98;104;121;143,0.698948
c4e59cc08286f9e72869a2d952a0115c,2,1,0.287830,5;75;90;147;203;231,1.726977
19e9ec902e079ef04b334fdcd1cbac19,2,1,0.038411,0;8;34;61;90;117;147,0.268876
1077bf64517ac1ed65c3435e3aa81b48,2,1,0.006583,3;126;161;165;219;239,0.039497
ce0485c4d5a892d07a4098c98f996caf,2,1,0.187827,73;94;122;166;232;246,1.126961
5a4774023eda7aebb6fae35cb923f7c8,2,1,0.195167,73;101;187;209;212,0.975836
736374b63466d7b1eaa78e06462c0d49,2,1,0.125356,7;17;43;153;174;180,0.752138
00bf951079c20ed763b35eb5c2e5e325,2,1,0.042335,23;52;99;125;162;188,0.254011
07ea0bbb5949d33e35aa0bb37bd73ca8,3,2,0.055989,5;8;170;196;207;215;226,0.391923
2fa9fb58a0cdb553f3d4cfd81fd746b5,3,2,0.239257,62;83;174;220;241,1.196286
597c74187ca1a12cfa247829a4c123b7,3,2,0.049586,18;38;90;104;130;158,0.297515
4a33b19630f131b72d19e158af7b3eda,3,2,0.116606,72;151;185;206;239;241,0.699634
ded247c5c6c0827cedf0e0f29c01daa8,3,2,0.059979,5;23;113;189;224,0.299895
8aecff034f1c3807aa459f539ec3e841,3,2,0.115513,37;38;58;189;204,0.577567
52ed9d029898e6277596b8bbc52dece5,3,2,0.030103,25;51;61;79;110;128;146;219,0.240827
ef22f2b17f70258491cf92713b6cdc4c,3,2,0.162703,23;96;118;174;195;220;238,1.138919
2fbcc68973327ed5927ceff9a871f954,3,2,0.130579,38;84;151;174;206;249,0.783473
ea61b166904110e81db8afea1aeed2c7,3,2,0.039685,106;113;117;204;207;210;212,0.277796
30f8fe424b724ae6e4124f7c0387c2e1,3,5,0.180515,29;33;60;86;101;105;114;118;163;199;218;245,2.166181
35a7a8a582b47e24b2a074ff7d5f89db,3,5,0.039193,9;34;89;95;120;126;139;140;232;240;242;249,0.470311
99accd0d019cda2057ac924420cac192,3,5,0.155033,0;132;162;164;186;201;233;243;248,1.395297
1a0c51a4fe1aa997cc28fb48e9e17bbe,3,5,0.021513,18;35;47;69;75;138;161;177;180;213;217,0.236641
084fa5a1db50fc0fef1c0dc6e812bc63,3,5,0.072554,7;29;108;116;126;142;146;161;218,0.652986
5855cd39a9cc904a5da0807f29919d78,3,5,0.043780,24;39;44;51;81;97;100;164;230,0.394024
942579bfa0621f2ddf6dff470e9e67e9,3,5,0.087800,47;68;95;109;120;129;139;192;210;242,0.877998
96a8482d78b4aa0723a628c7434fbd84,3,5,0.160383,7;41;106;107;172;194;208;218;229,1.443450
756d07151c0c94b63fb0950c8da3e841,3,5,0.111402,36;65;75;120;160;172;214;248,0.891219
5f7812a14440116f705fe75bada330a1,3,5,0.067767,7;34;82;84;120;138;163;181;183;233,0.677675
18c1c596f673d9c5f69d4f4897e3da34,3,5,0.046582,0;41;69;77;114;138;193;210;218;249,0.465824
71aa45fc2ce47d55d6916e6763b21f78,3,5,0.013477,27;46;48;82;102;105;210;217;233,0.121291
a2133e665bd8802beb4eceb94102c873,0,5,0.100857,56;79;118;136;164;166;167;170;193;195;199,1.109430
ad478d77df5dfc4fd1b5b1ef9264b6d7,0,5,0.005284,41;59;115;142;167;215;218;233;243,0.047556
f52c1210ada9864703a3c8b9abe527a6,0,5,0.046941,6;46;55;69;80;110;156;209;213;218,0.469414
443486f8f76527e590a04833b6df6444,0,5,0.104881,97;101;102;111;115;116;123;161;180;214,1.048814
737a70c0a2354792d96af8b8072636ef,0,5,0.014325,25;26;50;54;80;100;172;173;183,0.128921
2889f9947f9a1828fcb364b81b65f393,0,5,0.186154,26;55;68;100;121;161;193;213,1.489230
38575450708ef5ff3bcec366bcb40fa5,0,5,0.065842,9;10;14;33;47;78;126;129;150;200;208,0.724260
44b7b82a0ba37a7300bca01f42af5e28,0,5,0.226824,25;35;54;67;69;89;112;121;129;153;157;223,2.721890
78900d586ddbb0bd8d9da6edcf728c4a,0,5,0.112412,10;48;71;176;223;229;233,0.786885
621c87af6bc69e1a9b44ad41069078ae,0,5,0.073736,9;20;36;105;126;129;193;218;237,0.663626
ad2b9468a7aeb129a8aaf65c10b2307f,0,5,0.062743,6;65;88;109;117;132;171;172;175;210;249,0.690175
7821b75166e66611ab2b2178f00dda25,1,4,0.098052,11;37;40;42;60;78;94;111;144;163;182;183;198,1.274679
fe1ae08dbfd3e1a02293e4dd8f589394,1,4,0.052405,24;27;48;87;95;119;176;217,0.419240
1340131772afb3d89a91bb6f8bcd1c62,1,4,0.015459,28;36;51;110;117;135;164;177;211;226;240,0.170051
ed97ef693a3c324c59a89722288fc20f,1,4,0.140355,32;70;81;112;161;211;230;244,1.122843
f17ee691a07fcbfb010a07b38c3f2296,1,4,0.023806,27;32;44;48;96;142;195;238,0.190448
