Metric,Value
Total Assigned,229
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,192;228;178;83;114
1,150;3;184;58;206;164;24
2,100;87;149;104;46;101
3,54;222;15;44;74;167;232;25;109;14;35
4,75;202;119;112;70;237;183;200
5,135;139;229;211;201;79;140;107;142;85;210;196;33;133
0,5;93;165;189;238;145;242
1,99;241;57;204;86
2,233;151;90;246;89
3,160;41;173;31;118;179;175;171;208;40
4,169;13;231;218;129;39;16;67;27;153
5,177;226;157;120;72;110;193;97;123;29
0,187;219;61;220
1,17;174;103;7;125;158
2,235;63;12;38;136
3,48;6;65;26;34;234;56;162;117
4,20;214;166;215;121;199;230;127;138;84;60
5,106;195;64;205;18;50;134;0;11
0,203;131;4;239;243
1,43;23;122;128;55
2,113;124;98;130;209
3,2;249;146;185;95;28;78;68;186;105;156
4,37;82;108;32;198;49;225;182;45
5,248;115;176;96;245;217;247;36;69;51
0,221;188;30;59;236;42
1,1;168;147;224
2,137;141;207;62
3,244;47;91;148;102;170;71;240
4,132;77;163;216;155;53;22;172;191;111
5,213;126;52;144;9;88;180;80;94;154
