Metric,Value
Total Assigned,231
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,69;98;117;74;120;88;71;78;184;242;133
1,146;174;30;169;13;229;129;175
2,93;226;50;63;8;9
3,198;210;116;191;163;87;132;243;136;139;145;105;158
4,245;41;202;45;81;232;213;42;140;190;34
5,39;236;86;126;201;237;68;164;186
0,143;141;128;155;60;127;97
1,165;43;224;130;11;138
2,36;239;61;21;200;111;28
3,192;106;70;77;121;47;0;35;114
4,80;179;52;185;102;240;135;79;223;95;51
5,7;215;248;230;247;118;119;150;59;33;89;20
0,76;203;107;180;12;2;153
1,100;212;221;194;75;227
2,37;147;235;238;1;156;22
3,44;171;31;65;244;26;72;208
4,108;56;82;29;67;209;125;54;161;115;217;94
5,10;199;160;48;134;205;249;225
0,137;58;66;17;167
1,73;124;122;32
2,57;90;113;188;181;14
3,218;24;16;55;144;46;53;123;211;162
4,101;170;110;40;154;148;25;172;157;6;196
5,177;195;193;15;112;91;233
0,92;4;103
1,228;206;219;207
2,168;38;5
3,183;234;222;231;152;84
4,96;173;85;27;166;182;216;18
5,176;142;214;64;49;109
