Metric,Value
Total Assigned,236
Bank Size,2010
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,34;83;169;178;181;221
1,4;103;109;246
2,73;137;212;230;234
3,15;32;37;81;96;108;199
4,10;33;87;127;148;167;177;191;192;196;243
5,31;45;56;74;97;106;171;184;214
0,57;66;69;77;90;204
1,22;75;165;174;189;227;241
2,12;50;55;98;130;138;208;248
3,13;14;20;39;46;52;161;222;231;238
4,21;49;68;72;120;132;182;183;217
5,78;82;88;105;145;158;195;200;226;237;242;249
0,121;124;128;219;239
1,3;26;152;210;220
2,8;23;168;188
3,35;41;86;133;154;172;180;194;211;223;245
4,7;16;25;54;65;89;116;118;135;136;140;155;215
5,0;11;27;112;123;129;157;179;198;209
0,30;62;117;131;193
1,159;175;190;203;207;224
2,17;42;67;107;125;151;170;213
3,6;24;44;48;60;100;162;240
4,28;53;80;91;94;139;146;150;216;247
5,18;47;59;102;134;142;156;163;166;205;225
0,36;61;176;187;229;236
1,19;84;104;147;185;206
2,1;51;76;113;235
3,29;40;64;70;101;110;114;186;201;202;218
4,2;9;85;111;115;144;160;173;232;244
5,71;79;95;119;126;153;164;233
