Method,Scheduled,Makespan,Utilization,Runtime,Valid
Paper: GA,236,2995,96.75%,49.2738,True
Paper: SA,233,2996,96.94%,40.3351,True
Paper: Tabu,232,3000,96.83%,113.5148,True
Paper: SPT,208,2992,73.96%,0.0100,True
Human: Average,208,3000,98.72%,2.5003,True
Paper: LPT,199,3000,98.89%,0.0100,True
Human: Smart,197,3000,98.58%,0.0502,True

--- TOP 3 SCHEDULES ---
METHOD: Paper: GA (Count: 236)
Room,Patient IDs
0,12;14;19;25;44;53;57;66;75;76;77;83;90;92;99;113;122;134;141;148;150;151;156;170;174;188;204;230;235;236
1,1;3;4;20;23;30;56;62;93;112;117;138;143;147;164;168;178;183;187;189;203;207;214;219;222;227;246
2,2;5;8;17;34;38;59;61;68;78;98;104;109;110;115;120;130;140;163;165;169;171;201;206;212;220;224;234;237;238;239;241;244
3,0;13;15;16;24;27;28;29;35;36;48;50;54;60;65;67;69;84;87;88;96;106;119;125;133;136;144;145;146;155;161;162;172;176;177;179;180;181;184;195;211;213;223;226;229;240;245;247
4,6;7;9;11;26;31;32;33;39;42;45;51;52;70;74;85;86;91;95;100;102;107;108;116;127;129;142;154;157;166;175;185;190;191;194;199;200;205;208;209;215;218;225;231;232;249
5,10;18;21;22;37;40;41;46;47;49;55;64;71;72;79;80;81;82;89;94;97;101;105;111;114;118;121;123;126;132;135;139;153;158;160;167;173;182;186;192;193;196;198;202;210;216;217;233;242;243;248

METHOD: Paper: SA (Count: 233)
Room,Patient IDs
0,1;28;31;61;70;72;76;83;90;95;115;125;131;147;148;151;156;158;159;165;174;178;185;189;221;224;227;229;235
1,3;8;11;24;30;42;57;62;78;84;99;104;127;137;138;149;154;175;179;187;197;201;204;207;209;214;220;232;239;240
2,5;12;38;63;69;75;89;92;93;98;113;124;132;133;141;142;146;162;164;169;172;180;188;202;203;206;212;219;245;249
3,6;9;20;32;34;39;40;45;46;47;54;55;56;64;65;67;68;77;91;96;110;116;121;123;134;139;150;157;161;166;170;177;181;186;191;196;213;216;223;226;234;237;242;244;248
4,0;2;7;14;16;25;27;33;35;36;37;41;44;49;50;52;53;59;60;79;80;81;85;86;94;102;107;108;111;117;118;119;135;140;144;145;153;155;160;171;182;183;190;195;198;199;208;210;211;215;217;230;238;243
5,10;13;15;18;21;22;26;29;48;51;71;74;82;87;88;97;100;101;105;106;109;112;114;120;126;129;136;163;167;173;176;184;192;193;194;200;205;218;222;225;233;236;247

METHOD: Paper: Tabu (Count: 232)
Room,Patient IDs
0,3;10;12;55;58;61;67;73;76;90;93;99;103;113;124;125;135;141;142;143;169;177;185;210;219;223;235;236;239;243
1,5;8;19;20;23;31;62;66;70;77;85;104;109;122;128;137;147;149;171;174;188;204;206;221;231;232;241
2,15;17;32;38;57;65;74;83;89;98;129;130;133;151;157;158;161;165;168;180;189;194;198;203;207;211;212;214;217;224;230;246
3,2;6;11;13;14;22;24;28;34;44;48;68;69;78;91;97;102;108;111;115;127;132;136;138;139;144;146;148;152;153;154;155;160;166;170;172;183;184;193;199;213;216;218;242;244;245;247;249
4,26;27;29;33;35;36;37;40;45;46;47;49;51;52;53;54;59;60;75;79;81;82;86;87;88;94;95;96;101;107;112;114;118;119;120;123;134;145;150;156;164;167;175;179;190;196;202;209;222;234;237;238;240
5,0;7;9;16;18;21;25;41;42;50;56;64;71;72;84;100;105;106;110;117;121;126;140;162;163;173;176;181;182;186;191;192;195;200;201;205;208;215;225;226;233;248

