iteration,department,january_total,february_total,march_total,january_scheduled,february_scheduled,march_scheduled,total_scheduled,january_edges,february_edges,march_edges,total_edges
1,RST ROMB CCL,649,610,628,649,610,622,1881,15184,14180,9374,38738
1,RST ROMB HRS,321,304,308,321,304,279,904,8097,6048,1719,15864
2,RST ROMB CCL,649,610,628,649,610,623,1882,15403,14288,9400,39091
2,RST ROMB HRS,321,304,308,321,304,279,904,7550,6213,1729,15492
3,RST ROMB CCL,649,610,628,649,610,623,1882,15559,14274,9346,39179
3,RST ROMB HRS,321,304,308,321,304,279,904,7529,5996,1723,15248
4,RST ROMB CCL,649,610,628,649,610,622,1881,15447,14298,9376,39121
4,RST ROMB HRS,321,304,308,321,304,279,904,7579,6364,1713,15656
5,RST ROMB CCL,649,610,628,649,610,623,1882,15929,14975,9387,40291
5,RST ROMB HRS,321,304,308,321,304,279,904,7141,6223,1727,15091
6,RST ROMB CCL,649,610,628,649,610,623,1882,15626,14492,9406,39524
6,RST ROMB HRS,321,304,308,321,304,279,904,7590,6030,1725,15345
7,RST ROMB CCL,649,610,628,649,610,623,1882,15635,14206,9400,39241
7,RST ROMB HRS,321,304,308,321,304,279,904,7206,6137,1719,15062
8,RST ROMB CCL,649,610,628,649,610,623,1882,15413,14930,9375,39718
8,RST ROMB HRS,321,304,308,321,304,279,904,7142,6262,1742,15146
9,RST ROMB CCL,649,610,628,649,610,622,1881,15471,14258,9392,39121
9,RST ROMB HRS,321,304,308,321,304,279,904,7856,6217,1718,15791
10,RST ROMB CCL,649,610,628,649,610,623,1882,16475,14379,9421,40275
10,RST ROMB HRS,321,304,308,321,304,279,904,7801,6015,1721,15537
11,RST ROMB CCL,649,610,628,649,610,623,1882,15448,15254,9385,40087
11,RST ROMB HRS,321,304,308,321,304,279,904,7603,6126,1736,15465
12,RST ROMB CCL,649,610,628,649,610,623,1882,14985,14342,9378,38705
12,RST ROMB HRS,321,304,308,321,304,279,904,7299,5848,1731,14878
13,RST ROMB CCL,649,610,628,649,610,623,1882,15444,14560,9395,39399
13,RST ROMB HRS,321,304,308,321,304,279,904,7991,6259,1726,15976
14,RST ROMB CCL,649,610,628,649,610,622,1881,15637,14479,9343,39459
14,RST ROMB HRS,321,304,308,321,304,279,904,7633,5862,1728,15223
15,RST ROMB CCL,649,610,628,649,610,623,1882,16203,14513,9395,40111
15,RST ROMB HRS,321,304,308,321,304,279,904,8162,5848,1735,15745
16,RST ROMB CCL,649,610,628,649,610,623,1882,15704,15096,9383,40183
16,RST ROMB HRS,321,304,308,321,304,279,904,7175,6269,1721,15165
17,RST ROMB CCL,649,610,628,649,610,622,1881,15939,14529,9370,39838
17,RST ROMB HRS,321,304,308,321,304,279,904,7168,6187,1732,15087
18,RST ROMB CCL,649,610,628,649,610,622,1881,15472,15104,9368,39944
18,RST ROMB HRS,321,304,308,321,304,279,904,7152,5971,1716,14839
19,RST ROMB CCL,649,610,628,649,610,623,1882,16611,14783,9359,40753
19,RST ROMB HRS,321,304,308,321,304,279,904,7921,6090,1719,15730
20,RST ROMB CCL,649,610,628,649,610,622,1881,15539,14551,9366,39456
20,RST ROMB HRS,321,304,308,321,304,279,904,7155,6167,1728,15050
21,RST ROMB CCL,649,610,628,649,610,623,1882,15134,14364,9406,38904
21,RST ROMB HRS,321,304,308,321,304,279,904,7189,5896,1727,14812
22,RST ROMB CCL,649,610,628,649,610,623,1882,15222,14217,9430,38869
22,RST ROMB HRS,321,304,308,321,304,279,904,7781,6175,1718,15674
23,RST ROMB CCL,649,610,628,649,610,623,1882,15909,14338,9309,39556
23,RST ROMB HRS,321,304,308,321,304,279,904,7108,6088,1716,14912
24,RST ROMB CCL,649,610,628,649,610,623,1882,15602,14646,9420,39668
24,RST ROMB HRS,321,304,308,321,304,279,904,7605,6204,1722,15531
25,RST ROMB CCL,649,610,628,649,610,623,1882,15960,14980,9421,40361
25,RST ROMB HRS,321,304,308,321,304,279,904,7220,6410,1715,15345
26,RST ROMB CCL,649,610,628,649,610,623,1882,15674,14941,9438,40053
26,RST ROMB HRS,321,304,308,321,304,279,904,7192,6178,1709,15079
27,RST ROMB CCL,649,610,628,649,610,623,1882,15116,14451,9386,38953
27,RST ROMB HRS,321,304,308,321,304,279,904,7834,6049,1729,15612
28,RST ROMB CCL,649,610,628,649,610,623,1882,15416,14165,9365,38946
28,RST ROMB HRS,321,304,308,321,304,279,904,8034,6136,1721,15891
29,RST ROMB CCL,649,610,628,649,610,623,1882,15453,15006,9377,39836
29,RST ROMB HRS,321,304,308,321,304,279,904,7771,6093,1732,15596
30,RST ROMB CCL,649,610,628,649,610,623,1882,15399,14243,9381,39023
30,RST ROMB HRS,321,304,308,321,304,279,904,7350,6120,1731,15201
