iteration,department,total_paths,total_patients_solved,jan_solved,jan_total,jan_bound,feb_solved,feb_total,feb_bound,mar_solved,mar_total,mar_bound,pct_total
1,RST ROMB CCL,5,7,7,649,7,0,610,0,0,628,0,0.37
2,RST ROMB CCL,7,10,10,649,10,0,610,0,0,628,0,0.53
3,RST ROMB CCL,7,13,13,649,14,0,610,0,0,628,0,0.69
4,RST ROMB CCL,7,18,18,649,19,0,610,0,0,628,0,0.95
5,RST ROMB CCL,7,25,25,649,27,0,610,0,0,628,0,1.32
6,RST ROMB CCL,9,36,36,649,37,0,610,0,0,628,0,1.91
7,RST ROMB CCL,13,51,51,649,52,0,610,0,0,628,0,2.7
8,RST ROMB CCL,18,71,71,649,71,0,610,0,0,628,0,3.76
9,RST ROMB CCL,22,96,96,649,96,0,610,0,0,628,0,5.09
10,RST ROMB CCL,31,128,128,649,128,0,610,0,0,628,0,6.78
11,RST ROMB CCL,39,168,168,649,168,0,610,0,0,628,0,8.9
12,RST ROMB CCL,49,215,215,649,215,0,610,0,0,628,0,11.39
13,RST ROMB CCL,60,268,268,649,268,0,610,0,0,628,0,14.2
14,RST ROMB CCL,68,324,324,649,324,0,610,0,0,628,0,17.17
15,RST ROMB CCL,84,381,381,649,381,0,610,0,0,628,0,20.19
16,RST ROMB CCL,88,434,434,649,434,0,610,0,0,628,0,23.0
17,RST ROMB CCL,106,481,481,649,481,0,610,0,0,628,0,25.49
18,RST ROMB CCL,107,521,521,649,521,0,610,0,0,628,0,27.61
19,RST ROMB CCL,111,553,553,649,553,0,610,0,0,628,0,29.31
20,RST ROMB CCL,119,578,578,649,578,0,610,0,0,628,0,30.63
21,RST ROMB CCL,126,597,597,649,597,0,610,0,0,628,0,31.64
22,RST ROMB CCL,126,612,612,649,612,0,610,0,0,628,0,32.43
23,RST ROMB CCL,125,622,622,649,622,0,610,0,0,628,0,32.96
24,RST ROMB CCL,140,677,649,649,649,28,610,28,0,628,0,35.88
25,RST ROMB CCL,141,681,649,649,649,32,610,32,0,628,0,36.09
26,RST ROMB CCL,142,687,649,649,649,38,610,38,0,628,0,36.41
27,RST ROMB CCL,144,693,649,649,649,44,610,44,0,628,0,36.72
28,RST ROMB CCL,145,700,649,649,649,51,610,51,0,628,0,37.1
29,RST ROMB CCL,146,708,649,649,649,59,610,59,0,628,0,37.52
30,RST ROMB CCL,150,717,649,649,649,68,610,68,0,628,0,38.0
31,RST ROMB CCL,151,727,649,649,649,78,610,78,0,628,0,38.53
32,RST ROMB CCL,154,739,649,649,649,90,610,90,0,628,0,39.16
33,RST ROMB CCL,162,751,649,649,649,102,610,102,0,628,0,39.8
34,RST ROMB CCL,162,766,649,649,649,117,610,117,0,628,0,40.59
35,RST ROMB CCL,164,782,649,649,649,133,610,133,0,628,0,41.44
36,RST ROMB CCL,169,799,649,649,649,150,610,150,0,628,0,42.34
37,RST ROMB CCL,175,818,649,649,649,169,610,169,0,628,0,43.35
