iteration,department,total_paths,total_patients_solved,jan_solved,jan_total,jan_bound,feb_solved,feb_total,feb_bound,mar_solved,mar_total,mar_bound,pct_total
1,RST ROMB HRS,2,2,2,321,3,0,304,0,0,308,0,0.21
2,RST ROMB HRS,3,4,4,321,5,0,304,0,0,308,0,0.43
3,RST ROMB HRS,4,5,5,321,7,0,304,0,0,308,0,0.54
4,RST ROMB HRS,4,6,6,321,9,0,304,0,0,308,0,0.64
5,RST ROMB HRS,5,10,10,321,13,0,304,0,0,308,0,1.07
6,RST ROMB HRS,9,17,17,321,18,0,304,0,0,308,0,1.82
7,RST ROMB HRS,10,24,24,321,25,0,304,0,0,308,0,2.57
8,RST ROMB HRS,17,35,35,321,35,0,304,0,0,308,0,3.75
9,RST ROMB HRS,24,48,48,321,48,0,304,0,0,308,0,5.14
10,RST ROMB HRS,32,61,61,321,63,0,304,0,0,308,0,6.54
11,RST ROMB HRS,40,82,82,321,83,0,304,0,0,308,0,8.79
12,RST ROMB HRS,49,107,107,321,107,0,304,0,0,308,0,11.47
13,RST ROMB HRS,62,133,133,321,133,0,304,0,0,308,0,14.26
14,RST ROMB HRS,72,160,160,321,160,0,304,0,0,308,0,17.15
15,RST ROMB HRS,82,188,188,321,188,0,304,0,0,308,0,20.15
16,RST ROMB HRS,97,214,214,321,214,0,304,0,0,308,0,22.94
17,RST ROMB HRS,107,238,238,321,238,0,304,0,0,308,0,25.51
18,RST ROMB HRS,114,258,258,321,258,0,304,0,0,308,0,27.65
19,RST ROMB HRS,124,273,273,321,273,0,304,0,0,308,0,29.26
20,RST ROMB HRS,123,286,286,321,286,0,304,0,0,308,0,30.65
21,RST ROMB HRS,130,296,296,321,296,0,304,0,0,308,0,31.73
22,RST ROMB HRS,128,303,303,321,303,0,304,0,0,308,0,32.48
23,RST ROMB HRS,133,308,308,321,308,0,304,0,0,308,0,33.01
24,RST ROMB HRS,142,334,321,321,321,13,304,14,0,308,0,35.8
25,RST ROMB HRS,146,336,321,321,321,15,304,16,0,308,0,36.01
26,RST ROMB HRS,146,339,321,321,321,18,304,19,0,308,0,36.33
27,RST ROMB HRS,147,341,321,321,321,20,304,22,0,308,0,36.55
28,RST ROMB HRS,146,346,321,321,321,25,304,25,0,308,0,37.08
29,RST ROMB HRS,156,349,321,321,321,28,304,29,0,308,0,37.41
30,RST ROMB HRS,152,354,321,321,321,33,304,34,0,308,0,37.94
31,RST ROMB HRS,154,359,321,321,321,38,304,39,0,308,0,38.48
32,RST ROMB HRS,159,365,321,321,321,44,304,45,0,308,0,39.12
33,RST ROMB HRS,160,371,321,321,321,50,304,51,0,308,0,39.76
34,RST ROMB HRS,164,379,321,321,321,58,304,58,0,308,0,40.62
35,RST ROMB HRS,164,386,321,321,321,65,304,66,0,308,0,41.37
36,RST ROMB HRS,168,396,321,321,321,75,304,75,0,308,0,42.44
37,RST ROMB HRS,167,405,321,321,321,84,304,84,0,308,0,43.41
38,RST ROMB HRS,177,414,321,321,321,93,304,94,0,308,0,44.37
39,RST ROMB HRS,179,426,321,321,321,105,304,105,0,308,0,45.66
40,RST ROMB HRS,183,437,321,321,321,116,304,116,0,308,0,46.84
41,RST ROMB HRS,188,449,321,321,321,128,304,128,0,308,0,48.12
42,RST ROMB HRS,197,461,321,321,321,140,304,140,0,308,0,49.41
43,RST ROMB HRS,198,473,321,321,321,152,304,152,0,308,0,50.7
44,RST ROMB HRS,205,485,321,321,321,164,304,164,0,308,0,51.98
45,RST ROMB HRS,209,497,321,321,321,176,304,176,0,308,0,53.27
46,RST ROMB HRS,216,509,321,321,321,188,304,188,0,308,0,54.56
47,RST ROMB HRS,219,520,321,321,321,199,304,199,0,308,0,55.73
48,RST ROMB HRS,227,531,321,321,321,210,304,210,0,308,0,56.91
49,RST ROMB HRS,227,541,321,321,321,220,304,220,0,308,0,57.98
50,RST ROMB HRS,234,550,321,321,321,229,304,229,0,308,0,58.95
51,RST ROMB HRS,242,559,321,321,321,238,304,238,0,308,0,59.91
52,RST ROMB HRS,242,567,321,321,321,246,304,246,0,308,0,60.77
53,RST ROMB HRS,239,574,321,321,321,253,304,253,0,308,0,61.52
54,RST ROMB HRS,248,580,321,321,321,259,304,259,0,308,0,62.17
55,RST ROMB HRS,246,586,321,321,321,265,304,265,0,308,0,62.81
56,RST ROMB HRS,248,591,321,321,321,270,304,270,0,308,0,63.34
57,RST ROMB HRS,252,596,321,321,321,275,304,275,0,308,0,63.88
58,RST ROMB HRS,254,600,321,321,321,279,304,279,0,308,0,64.31
59,RST ROMB HRS,255,603,321,321,321,282,304,282,0,308,0,64.63
60,RST ROMB HRS,253,606,321,321,321,285,304,285,0,308,0,64.95
61,RST ROMB HRS,252,609,321,321,321,288,304,288,0,308,0,65.27
62,RST ROMB HRS,254,611,321,321,321,290,304,290,0,308,0,65.49
63,RST ROMB HRS,261,613,321,321,321,292,304,292,0,308,0,65.7
64,RST ROMB HRS,260,615,321,321,321,294,304,294,0,308,0,65.92
65,RST ROMB HRS,302,713,321,321,321,304,304,304,88,308,88,76.42
66,RST ROMB HRS,296,718,321,321,321,304,304,304,93,308,93,76.96
67,RST ROMB HRS,305,722,321,321,321,304,304,304,97,308,97,77.38
68,RST ROMB HRS,300,726,321,321,321,304,304,304,101,308,101,77.81
69,RST ROMB HRS,307,731,321,321,321,304,304,304,106,308,106,78.35
70,RST ROMB HRS,307,735,321,321,321,304,304,304,110,308,110,78.78
71,RST ROMB HRS,306,740,321,321,321,304,304,304,115,308,115,79.31
72,RST ROMB HRS,312,745,321,321,321,304,304,304,120,308,120,79.85
73,RST ROMB HRS,312,749,321,321,321,304,304,304,124,308,124,80.28
74,RST ROMB HRS,315,754,321,321,321,304,304,304,129,308,129,80.81
75,RST ROMB HRS,315,759,321,321,321,304,304,304,134,308,134,81.35
76,RST ROMB HRS,323,764,321,321,321,304,304,304,139,308,139,81.89
77,RST ROMB HRS,323,769,321,321,321,304,304,304,144,308,144,82.42
78,RST ROMB HRS,325,774,321,321,321,304,304,304,149,308,149,82.96
79,RST ROMB HRS,327,779,321,321,321,304,304,304,154,308,154,83.49
80,RST ROMB HRS,333,784,321,321,321,304,304,304,159,308,159,84.03
81,RST ROMB HRS,335,789,321,321,321,304,304,304,164,308,164,84.57
82,RST ROMB HRS,334,794,321,321,321,304,304,304,169,308,169,85.1
83,RST ROMB HRS,337,799,321,321,321,304,304,304,174,308,174,85.64
84,RST ROMB HRS,344,804,321,321,321,304,304,304,179,308,179,86.17
85,RST ROMB HRS,340,809,321,321,321,304,304,304,184,308,184,86.71
86,RST ROMB HRS,344,813,321,321,321,304,304,304,188,308,188,87.14
87,RST ROMB HRS,340,818,321,321,321,304,304,304,193,308,193,87.67
88,RST ROMB HRS,345,823,321,321,321,304,304,304,198,308,198,88.21
89,RST ROMB HRS,345,827,321,321,321,304,304,304,202,308,202,88.64
90,RST ROMB HRS,354,832,321,321,321,304,304,304,207,308,207,89.17
91,RST ROMB HRS,345,836,321,321,321,304,304,304,211,308,211,89.6
92,RST ROMB HRS,353,840,321,321,321,304,304,304,215,308,215,90.03
93,RST ROMB HRS,355,845,321,321,321,304,304,304,220,308,220,90.57
94,RST ROMB HRS,358,849,321,321,321,304,304,304,224,308,224,91.0
95,RST ROMB HRS,355,853,321,321,321,304,304,304,228,308,228,91.43
96,RST ROMB HRS,366,856,321,321,321,304,304,304,231,308,231,91.75
97,RST ROMB HRS,360,860,321,321,321,304,304,304,235,308,235,92.18
98,RST ROMB HRS,363,864,321,321,321,304,304,304,239,308,239,92.6
99,RST ROMB HRS,356,867,321,321,321,304,304,304,242,308,242,92.93
100,RST ROMB HRS,371,870,321,321,321,304,304,304,245,308,245,93.25
101,RST ROMB HRS,394,933,321,321,321,304,304,304,308,308,308,100.0
102,RST ROMB HRS,399,933,321,321,321,304,304,304,308,308,308,100.0
103,RST ROMB HRS,389,933,321,321,321,304,304,304,308,308,308,100.0
104,RST ROMB HRS,397,933,321,321,321,304,304,304,308,308,308,100.0
105,RST ROMB HRS,389,933,321,321,321,304,304,304,308,308,308,100.0
106,RST ROMB HRS,395,933,321,321,321,304,304,304,308,308,308,100.0
