Iteration,Edge_Limit,CCL_Jan,CCL_Jan_Total,CCL_Jan_Pct,CCL_Feb,CCL_Feb_Total,CCL_Feb_Pct,CCL_Mar,CCL_Mar_Total,CCL_Mar_Pct,HRS_Jan,HRS_Jan_Total,HRS_Jan_Pct,HRS_Feb,HRS_Feb_Total,HRS_Feb_Pct,HRS_Mar,HRS_Mar_Total,HRS_Mar_Pct,Runtime_Sec
1,254727,396,651,60.8,0,613,0.0,0,633,0.0,265,320,82.8,0,303,0.0,0,309,0.0,5.09
2,261761,396,651,60.8,0,613,0.0,0,633,0.0,266,320,83.1,0,303,0.0,0,309,0.0,5.05
3,269442,395,651,60.7,0,613,0.0,0,633,0.0,265,320,82.8,0,303,0.0,0,309,0.0,5.33
4,277767,394,651,60.5,0,613,0.0,0,633,0.0,265,320,82.8,0,303,0.0,0,309,0.0,5.51
5,286715,394,651,60.5,0,613,0.0,0,633,0.0,265,320,82.8,0,303,0.0,0,309,0.0,4.99
6,296246,396,651,60.8,0,613,0.0,0,633,0.0,267,320,83.4,0,303,0.0,0,309,0.0,3.09
7,306303,396,651,60.8,0,613,0.0,0,633,0.0,264,320,82.5,0,303,0.0,0,309,0.0,3.01
8,316808,396,651,60.8,0,613,0.0,0,633,0.0,264,320,82.5,0,303,0.0,0,309,0.0,2.98
9,327667,396,651,60.8,0,613,0.0,0,633,0.0,264,320,82.5,0,303,0.0,0,309,0.0,3.18
10,338771,395,651,60.7,0,613,0.0,0,633,0.0,264,320,82.5,0,303,0.0,0,309,0.0,3.12
11,350000,395,651,60.7,0,613,0.0,0,633,0.0,263,320,82.2,0,303,0.0,0,309,0.0,3.32
12,361228,396,651,60.8,0,613,0.0,0,633,0.0,264,320,82.5,0,303,0.0,0,309,0.0,3.01
